user_id,cart_value,items,time_of_day,user_history,offer_shown,reward
73,11288.22,T-Shirt|Jacket,afternoon,0,10% discount,0
74,5951.08,Phone Case,afternoon,3,20% discount,0
75,7996.88,Nike Shoes,afternoon,1,5% discount,0
76,2933.77,Coffee Mug,morning,4,10% discount,1
77,2130.28,Puma Sneakers,afternoon,7,10% discount,1
78,12619.23,Sports Cap|Phone Case,morning,6,10% discount,0
79,3140.21,Cushion,evening,4,10% discount,0
80,5697.01,Jacket,afternoon,0,20% discount,1
81,9868.06,Coffee Mug,night,8,Free Shipping,0
82,6717.8,Cushion,afternoon,5,Free Shipping,0
83,9875.31,Cushion,morning,0,10% discount,0
84,6553.18,Nike Shoes,afternoon,4,Free Shipping,0
85,5707.63,Puma Sneakers,night,4,5% discount,0
86,5876.48,Cushion,afternoon,8,Free Shipping,0
87,6454.32,Coffee Mug,afternoon,3,10% discount,0
88,13856.44,Coffee Mug|Nike Shoes,evening,2,10% discount,0
89,25747.08,Earbuds|Nike Shoes|Phone Case,evening,1,5% discount,0
90,5578.0,Phone Case,night,5,Free Shipping,1
91,10313.87,Adidas Running Shoes|Nike Shoes,night,8,10% discount,0
92,5036.08,Nike Shoes,evening,1,5% discount,0
93,7480.97,Earbuds|Coffee Mug,afternoon,10,5% discount,0
94,9580.35,Puma Sneakers,night,10,20% discount,1
95,3450.41,T-Shirt,afternoon,7,5% discount,0
96,10844.78,Puma Sneakers|Wristband,evening,10,10% discount,0
97,12783.73,Jacket|Phone Case|T-Shirt,afternoon,9,Free Shipping,1
98,3405.1,Cushion,evening,1,20% discount,1
99,5122.61,Earbuds,evening,1,20% discount,1
100,4936.79,Adidas Running Shoes|Phone Case,night,9,20% discount,0
101,15707.35,Cushion|Adidas Running Shoes,afternoon,0,10% discount,1
102,9172.96,Puma Sneakers,morning,1,Free Shipping,1
103,5847.27,Jeans,afternoon,7,Free Shipping,1
104,11468.55,Jeans|Cushion,evening,9,5% discount,1
105,12996.79,Puma Sneakers|Puma Sneakers|Jeans,morning,7,Free Shipping,0
106,7915.56,Wristband,night,4,20% discount,0
107,8635.38,Adidas Running Shoes,night,1,20% discount,0
108,7423.72,Nike Shoes|Sports Cap,morning,10,5% discount,0
109,7600.54,Jacket,night,3,10% discount,1
110,11134.46,Cushion|Sports Cap,afternoon,2,Free Shipping,0
111,4624.86,Sports Cap|Coffee Mug,afternoon,2,5% discount,1
112,9709.37,Earbuds,morning,3,10% discount,0
113,13591.68,Backpack|Backpack,afternoon,5,20% discount,1
114,5495.39,Earbuds,morning,7,10% discount,1
115,2311.93,Coffee Mug,morning,9,Free Shipping,0
116,11389.83,Wristband|Earbuds,evening,2,20% discount,1
117,8643.83,Coffee Mug,morning,7,20% discount,0
118,7245.0,Backpack,afternoon,10,20% discount,0
119,1665.8,Phone Case,morning,1,5% discount,0
120,5788.31,Puma Sneakers,afternoon,4,20% discount,1
121,5252.95,Puma Sneakers,night,10,5% discount,0
122,5338.69,Jeans,night,7,Free Shipping,0
123,5552.31,Cushion,afternoon,5,Free Shipping,0
124,1435.74,Adidas Running Shoes,night,1,20% discount,1
125,20958.02,Adidas Running Shoes|Backpack|Phone Case,morning,9,Free Shipping,1
126,6559.18,Sports Cap,night,9,5% discount,0
127,1097.56,Coffee Mug,evening,0,20% discount,1
128,3803.68,Cushion,night,1,10% discount,0
129,10265.0,Cushion|Nike Shoes,evening,5,Free Shipping,0
130,9938.03,Coffee Mug,evening,5,20% discount,1
131,9860.29,Jeans|Wristband,morning,8,Free Shipping,0
132,10350.02,Earbuds|Nike Shoes,morning,1,10% discount,0
133,8812.39,Cushion,morning,2,10% discount,0
134,5199.02,Phone Case|Earbuds,night,1,Free Shipping,1
135,4526.54,Earbuds,morning,10,20% discount,1
136,8495.22,Phone Case,afternoon,3,Free Shipping,1
137,11894.01,Backpack|Jacket,afternoon,0,20% discount,1
138,4126.07,Jeans,night,2,10% discount,1
139,15472.23,Adidas Running Shoes|Sports Cap,morning,9,20% discount,1
140,11835.42,Cushion|Jeans,morning,0,20% discount,1
141,1216.5,Puma Sneakers,evening,4,20% discount,0
142,13413.71,Nike Shoes|Jeans,night,9,Free Shipping,1
143,17696.59,Wristband|Coffee Mug|Phone Case,morning,2,Free Shipping,0
144,8277.07,T-Shirt|Phone Case,evening,1,Free Shipping,1
145,11977.11,T-Shirt|Phone Case|Phone Case,night,0,Free Shipping,0
146,8831.65,Sports Cap,afternoon,0,20% discount,0
147,9347.89,Puma Sneakers|Puma Sneakers,evening,8,10% discount,1
148,9374.92,Phone Case|Cushion,evening,7,Free Shipping,0
149,13596.35,Earbuds|Coffee Mug,morning,0,10% discount,0
150,16249.41,Coffee Mug|Jacket|Cushion,morning,0,10% discount,1
151,13566.36,Phone Case|Nike Shoes,morning,8,5% discount,0
152,4284.73,Cushion|Cushion,afternoon,0,20% discount,0
153,3773.61,Wristband,afternoon,4,5% discount,0
154,7289.45,T-Shirt,night,9,Free Shipping,0
155,2663.98,Jacket,afternoon,4,5% discount,0
156,8486.11,Adidas Running Shoes,night,7,10% discount,1
157,3426.76,T-Shirt,afternoon,5,Free Shipping,0
158,7808.54,Jacket,night,3,Free Shipping,0
159,7359.18,Cushion,evening,1,Free Shipping,1
160,17888.17,T-Shirt|Jeans,evening,9,5% discount,0
161,7635.21,Phone Case|T-Shirt,morning,7,Free Shipping,0
162,9834.59,Cushion,morning,0,Free Shipping,1
163,9272.18,Earbuds,morning,7,Free Shipping,0
164,15494.72,Cushion|Jeans,afternoon,8,Free Shipping,1
165,9200.83,Wristband,evening,3,10% discount,0
166,7699.25,Earbuds|Nike Shoes,night,2,5% discount,0
167,5046.22,Cushion,evening,10,10% discount,1
168,5294.1,Adidas Running Shoes,night,3,Free Shipping,0
169,3287.94,Earbuds,night,9,Free Shipping,1
170,6439.93,Phone Case,morning,6,Free Shipping,1
171,6050.14,Adidas Running Shoes,evening,2,Free Shipping,0
172,8761.79,Puma Sneakers,afternoon,10,10% discount,1
173,5469.68,Phone Case,night,7,20% discount,0
174,5548.34,Adidas Running Shoes,evening,5,5% discount,0
175,12435.75,Sports Cap|Adidas Running Shoes,evening,5,10% discount,1
176,7090.49,Coffee Mug,afternoon,10,20% discount,1
177,3213.95,Earbuds,afternoon,6,Free Shipping,1
178,14418.29,T-Shirt|Nike Shoes,afternoon,2,5% discount,0
179,2549.82,Backpack,morning,9,5% discount,0
180,5494.53,Phone Case,morning,10,5% discount,0
181,1955.28,Wristband,evening,6,Free Shipping,0
182,1561.06,Nike Shoes,evening,8,10% discount,1
183,5758.29,Cushion,afternoon,5,10% discount,0
184,1713.57,Cushion,night,7,5% discount,0
185,4828.4,Nike Shoes,evening,1,5% discount,0
186,7260.69,Earbuds,morning,9,20% discount,0
187,14106.94,Backpack|Coffee Mug,afternoon,2,Free Shipping,0
188,10817.4,Puma Sneakers|Sports Cap,afternoon,2,10% discount,0
189,6673.32,T-Shirt,morning,2,20% discount,1
190,6325.14,T-Shirt,night,9,Free Shipping,0
191,11798.21,T-Shirt|Jacket|Phone Case,morning,5,10% discount,1
192,11911.44,Backpack|Coffee Mug,evening,3,Free Shipping,1
193,1440.04,T-Shirt,afternoon,7,Free Shipping,0
194,4384.85,Puma Sneakers,night,9,20% discount,1
195,13997.64,Sports Cap|Cushion,afternoon,1,5% discount,0
196,12661.46,Backpack|Jeans,morning,5,5% discount,0
197,10341.19,Wristband|Cushion|Wristband,afternoon,2,Free Shipping,1
198,3288.22,T-Shirt,evening,0,5% discount,1
199,5170.43,Phone Case,evening,3,10% discount,0
200,13710.86,Jeans|Nike Shoes,afternoon,4,10% discount,1
201,15085.4,Phone Case|Coffee Mug,afternoon,8,10% discount,0
202,7430.26,Nike Shoes,night,1,Free Shipping,0
203,9079.37,Backpack,morning,4,Free Shipping,1
204,4985.3,Backpack,evening,7,20% discount,1
205,5207.29,Jeans,morning,0,5% discount,0
206,5867.66,Cushion,morning,8,5% discount,0
207,20410.69,Puma Sneakers|Jeans|Jacket,night,10,10% discount,0
208,9386.52,Phone Case|Earbuds,afternoon,2,10% discount,0
209,9630.13,Cushion,night,7,5% discount,0
210,2815.12,Sports Cap,afternoon,8,Free Shipping,0
211,4941.47,T-Shirt|Jeans,night,9,10% discount,1
212,4979.38,Sports Cap,morning,0,Free Shipping,1
213,6820.54,Earbuds,night,3,20% discount,1
214,9435.34,Backpack,evening,3,5% discount,0
215,6542.05,Cushion,morning,0,5% discount,0
216,4772.56,Adidas Running Shoes,afternoon,1,Free Shipping,0
217,8039.67,Wristband,afternoon,7,20% discount,1
218,9292.36,Cushion|Wristband,afternoon,6,20% discount,1
219,1729.91,T-Shirt,afternoon,10,5% discount,0
220,5374.37,Cushion,morning,10,Free Shipping,1
221,13896.74,Sports Cap|Coffee Mug,night,9,10% discount,0
222,6464.07,Backpack,morning,7,10% discount,1
223,16758.79,T-Shirt|Adidas Running Shoes,morning,3,Free Shipping,1
224,8254.89,Nike Shoes|Jacket,night,9,Free Shipping,1
225,6668.03,Jacket,morning,6,10% discount,0
226,14398.3,Puma Sneakers|Coffee Mug|Puma Sneakers,evening,1,10% discount,1
227,7805.19,Sports Cap,morning,1,5% discount,1
228,4228.34,Nike Shoes,evening,8,20% discount,1
229,8740.86,Cushion,night,3,Free Shipping,1
230,5946.72,Puma Sneakers,morning,3,Free Shipping,0
231,11072.17,Nike Shoes|Coffee Mug,evening,4,Free Shipping,0
232,14111.33,Coffee Mug|Coffee Mug,evening,1,20% discount,0
233,14135.18,Phone Case|Nike Shoes|Phone Case,night,4,10% discount,0
234,5144.08,Phone Case,night,1,Free Shipping,0
235,15201.06,Nike Shoes|Adidas Running Shoes,afternoon,0,20% discount,1
236,5878.69,Cushion,evening,4,Free Shipping,0
237,7111.45,Earbuds,morning,8,10% discount,1
238,7129.39,Wristband,night,7,10% discount,0
239,15111.06,Wristband|Sports Cap,night,10,Free Shipping,1
240,7878.87,Cushion,afternoon,8,Free Shipping,1
241,3396.97,Nike Shoes,night,7,Free Shipping,0
242,1940.61,Earbuds,afternoon,3,20% discount,1
243,9528.59,Nike Shoes|Nike Shoes,morning,4,20% discount,0
244,2051.79,Backpack,afternoon,7,Free Shipping,0
245,7431.1,Wristband,night,10,10% discount,0
246,15102.93,Phone Case|Puma Sneakers|Adidas Running Shoes,night,7,10% discount,0
247,3441.03,Backpack,night,7,10% discount,0
248,9954.73,Phone Case,evening,10,Free Shipping,1
249,13519.83,Adidas Running Shoes|T-Shirt,morning,4,5% discount,0
250,12192.1,Nike Shoes|Jeans,evening,0,20% discount,1
251,9818.64,Adidas Running Shoes|Nike Shoes,evening,0,20% discount,0
252,1445.58,Phone Case,evening,7,Free Shipping,0
253,4400.0,Phone Case|Sports Cap,morning,3,Free Shipping,0
254,1069.31,Puma Sneakers,afternoon,4,20% discount,0
255,2874.52,Earbuds,morning,0,20% discount,1
256,1974.29,Coffee Mug,night,6,Free Shipping,0
257,7452.58,Adidas Running Shoes|Adidas Running Shoes,morning,4,5% discount,0
258,9703.7,T-Shirt,evening,10,5% discount,0
259,2591.74,Phone Case,morning,7,10% discount,1
260,3318.17,Coffee Mug,morning,5,10% discount,0
261,17676.28,Coffee Mug|Earbuds,night,6,20% discount,1
262,9737.98,Nike Shoes,night,4,20% discount,1
263,5611.61,Coffee Mug,evening,9,Free Shipping,1
264,11058.51,Earbuds|Sports Cap,afternoon,6,20% discount,1
265,5786.33,Coffee Mug,morning,0,Free Shipping,1
266,17172.87,Earbuds|Sports Cap,evening,4,Free Shipping,1
267,7056.73,Wristband,afternoon,2,Free Shipping,0
268,5139.91,Sports Cap,night,8,10% discount,0
269,5670.22,Earbuds,night,10,20% discount,1
270,9515.98,Sports Cap,evening,6,20% discount,0
271,7410.43,Earbuds,afternoon,3,5% discount,0
272,2761.79,T-Shirt,morning,9,Free Shipping,0
273,5086.4,T-Shirt|T-Shirt,night,7,Free Shipping,0
274,2882.64,Puma Sneakers,evening,9,5% discount,0
275,11369.13,Nike Shoes|Coffee Mug,afternoon,3,Free Shipping,0
276,3534.61,T-Shirt,afternoon,7,Free Shipping,1
277,5350.14,Nike Shoes,afternoon,8,10% discount,0
278,9031.86,Wristband,night,3,10% discount,1
279,3035.58,Earbuds,afternoon,0,20% discount,0
280,6566.22,Coffee Mug,afternoon,0,5% discount,0
281,7898.9,Coffee Mug,afternoon,6,Free Shipping,0
282,6147.25,T-Shirt,morning,6,20% discount,0
283,10252.9,Coffee Mug|Wristband,evening,0,Free Shipping,1
284,8960.36,Phone Case,evening,1,20% discount,1
285,9638.93,Backpack,afternoon,1,10% discount,1
286,5799.1,Backpack,evening,6,Free Shipping,0
287,6108.61,Nike Shoes,morning,4,Free Shipping,1
288,5581.85,Earbuds,morning,2,Free Shipping,0
289,6081.0,Earbuds,evening,4,10% discount,0
290,6687.34,Earbuds,morning,2,Free Shipping,1
291,6626.87,Sports Cap|Phone Case,night,8,10% discount,0
292,5346.04,Wristband,afternoon,4,Free Shipping,0
293,4577.62,Backpack,morning,8,Free Shipping,0
294,2419.2,Jacket,morning,6,Free Shipping,0
295,5778.22,Coffee Mug,evening,2,20% discount,1
296,16763.6,Cushion|Backpack,afternoon,3,5% discount,0
297,10965.19,Puma Sneakers|Earbuds,night,6,10% discount,0
298,13336.3,Jeans|Phone Case|Phone Case,night,6,10% discount,0
299,1318.79,Jacket,morning,5,10% discount,0
300,7492.94,Sports Cap|Sports Cap,evening,0,Free Shipping,0
301,4889.59,Wristband,night,0,20% discount,0
302,7328.13,Jeans,morning,3,5% discount,0
303,5198.8,Coffee Mug,morning,0,10% discount,0
304,4434.27,Coffee Mug|Phone Case,evening,6,Free Shipping,1
305,8214.86,Wristband|Backpack,night,4,Free Shipping,0
306,13850.55,Adidas Running Shoes|Backpack,evening,4,20% discount,1
307,1996.06,T-Shirt,morning,1,10% discount,0
308,2504.82,Backpack,evening,2,10% discount,0
309,6548.09,T-Shirt,evening,8,5% discount,0
310,8696.24,Backpack,afternoon,3,Free Shipping,0
311,5196.22,Jacket,night,8,5% discount,1
312,1019.37,Jacket,night,9,10% discount,0
313,8430.14,Jacket,afternoon,3,Free Shipping,0
314,11135.89,T-Shirt|T-Shirt,night,7,Free Shipping,1
315,4816.6,Earbuds,morning,0,5% discount,0
316,17155.41,Nike Shoes|Nike Shoes,morning,6,20% discount,0
317,1728.67,Sports Cap,afternoon,3,Free Shipping,0
318,2667.45,Backpack,evening,4,Free Shipping,0
319,1950.71,Earbuds,night,3,5% discount,0
320,3448.13,Sports Cap,evening,3,20% discount,1
321,3794.36,Jacket,night,4,Free Shipping,0
322,9182.11,Jacket|Jacket,afternoon,4,10% discount,0
323,2294.82,Jacket,morning,0,10% discount,0
324,11742.33,Sports Cap|Cushion,evening,7,Free Shipping,0
325,9728.33,Backpack|Earbuds,evening,4,20% discount,0
326,2415.43,Backpack,evening,9,5% discount,0
327,7189.57,Jacket,morning,9,Free Shipping,0
328,3919.21,Backpack,afternoon,2,10% discount,0
329,5822.82,Coffee Mug,afternoon,4,20% discount,0
330,3436.95,Wristband,night,0,10% discount,0
331,2731.02,Adidas Running Shoes,afternoon,8,20% discount,1
332,6324.17,Phone Case,night,0,Free Shipping,0
333,9052.58,Jeans|T-Shirt,afternoon,1,Free Shipping,0
334,3641.44,Coffee Mug,evening,7,20% discount,1
335,5312.58,Earbuds,evening,7,10% discount,0
336,5952.81,Puma Sneakers,morning,5,5% discount,0
337,2024.21,Sports Cap,night,6,10% discount,0
338,8693.9,Phone Case,morning,4,10% discount,0
339,20320.01,Puma Sneakers|Jacket|Nike Shoes,morning,5,Free Shipping,1
340,23360.91,Jacket|Adidas Running Shoes|Cushion,evening,7,Free Shipping,0
341,23600.42,Sports Cap|Backpack|Jeans,morning,2,20% discount,0
342,2812.05,Phone Case,afternoon,1,10% discount,0
343,8626.33,Wristband,afternoon,2,20% discount,1
344,6461.47,Puma Sneakers|Adidas Running Shoes,afternoon,10,5% discount,0
345,1200.87,Nike Shoes,afternoon,2,10% discount,1
346,14993.73,Nike Shoes|Jeans,afternoon,6,5% discount,1
347,6870.49,Sports Cap,night,2,5% discount,0
348,6863.8,T-Shirt|Cushion,night,10,Free Shipping,0
349,16602.96,Earbuds|Nike Shoes,night,3,Free Shipping,0
350,1864.55,Cushion,afternoon,6,5% discount,0
351,1588.83,Cushion,evening,8,20% discount,0
352,15999.62,Phone Case|Sports Cap|Jeans,evening,5,10% discount,1
353,8166.9,Adidas Running Shoes,morning,5,Free Shipping,1
354,6109.69,Jeans,evening,6,10% discount,0
355,9969.33,Backpack|Backpack,evening,3,10% discount,0
356,10817.42,Cushion|Phone Case,night,0,20% discount,0
357,8858.96,Backpack,morning,2,20% discount,1
358,9782.55,Nike Shoes|Puma Sneakers,evening,8,Free Shipping,0
359,8529.92,Jeans|Adidas Running Shoes,afternoon,6,Free Shipping,0
360,6504.79,Coffee Mug|T-Shirt,evening,8,10% discount,1
361,13673.91,Adidas Running Shoes|Coffee Mug,afternoon,2,Free Shipping,0
362,1104.87,Earbuds,night,9,20% discount,0
363,3167.82,Phone Case,night,10,10% discount,1
364,9977.83,Backpack,evening,3,Free Shipping,1
365,8807.64,T-Shirt|Jeans,evening,1,Free Shipping,0
366,15476.42,Earbuds|Earbuds,night,8,5% discount,0
367,10346.71,Wristband|Cushion|Adidas Running Shoes,evening,7,Free Shipping,0
368,9793.84,Wristband|T-Shirt|Jacket,evening,3,Free Shipping,0
369,5390.63,Puma Sneakers,evening,1,10% discount,0
370,1198.33,Nike Shoes,afternoon,10,5% discount,0
371,5548.29,Cushion|Sports Cap,night,5,10% discount,0
372,6891.21,Backpack,night,0,5% discount,0
373,5289.64,Backpack|Jacket,afternoon,8,10% discount,0
374,2018.01,Puma Sneakers,afternoon,9,5% discount,0
375,3574.72,Puma Sneakers,morning,0,10% discount,0
376,13851.96,Nike Shoes|Backpack,evening,7,20% discount,0
377,6141.85,Earbuds|Coffee Mug,evening,8,5% discount,1
378,1263.51,Cushion,night,4,Free Shipping,0
379,4346.89,Jeans,evening,7,5% discount,0
380,8056.18,Adidas Running Shoes,afternoon,1,Free Shipping,0
381,17575.72,Puma Sneakers|Earbuds|Adidas Running Shoes,night,7,20% discount,1
382,11813.17,Coffee Mug|Cushion|Wristband,evening,10,5% discount,1
383,8330.75,Phone Case,evening,9,10% discount,1
384,5083.73,Jeans|Nike Shoes,night,5,5% discount,0
385,22240.61,Cushion|Backpack|Coffee Mug,afternoon,8,Free Shipping,0
386,2556.14,Jacket,night,10,Free Shipping,0
387,7586.72,T-Shirt,evening,9,10% discount,0
388,10125.06,Coffee Mug|Sports Cap,morning,1,Free Shipping,0
389,2862.35,Jacket,night,6,5% discount,0
390,23931.17,Backpack|Backpack|Sports Cap,morning,2,10% discount,1
391,8538.0,T-Shirt,morning,6,10% discount,1
392,18828.11,Wristband|Nike Shoes|Cushion,afternoon,0,Free Shipping,0
393,1504.25,Wristband,evening,2,Free Shipping,0
394,5046.35,Adidas Running Shoes,afternoon,3,5% discount,0
395,7880.72,Nike Shoes|Jeans,evening,4,5% discount,0
396,12625.38,Earbuds|Puma Sneakers|T-Shirt,evening,2,5% discount,0
397,7624.47,Backpack,evening,2,5% discount,0
398,7060.49,Adidas Running Shoes|Sports Cap,afternoon,8,Free Shipping,0
399,3857.37,Earbuds,afternoon,6,10% discount,1
400,8172.11,Phone Case,evening,1,5% discount,0
401,14449.81,Phone Case|Earbuds,evening,0,Free Shipping,0
402,14054.76,Cushion|Phone Case,morning,8,Free Shipping,0
403,12918.31,Cushion|Jeans,afternoon,2,10% discount,1
404,9758.32,Cushion,morning,10,10% discount,0
405,5764.9,Wristband|T-Shirt,morning,6,10% discount,0
406,4256.37,Adidas Running Shoes,morning,7,20% discount,1
407,21812.18,Sports Cap|Backpack|Coffee Mug,afternoon,8,20% discount,0
408,10584.12,Coffee Mug|Cushion,afternoon,1,10% discount,0
409,1090.37,Jeans,morning,9,20% discount,0
410,2738.63,Jacket,evening,0,10% discount,0
411,1837.37,Jacket,night,4,20% discount,0
412,11193.89,Cushion|Puma Sneakers,evening,3,5% discount,0
413,13439.45,Phone Case|Coffee Mug|Wristband,night,1,Free Shipping,0
414,7991.31,Backpack,night,7,10% discount,0
415,9398.58,Earbuds,morning,6,Free Shipping,1
416,9430.48,Jeans,evening,10,10% discount,0
417,16066.04,Wristband|Jeans,night,4,Free Shipping,1
418,8515.92,Phone Case,night,10,5% discount,0
419,8907.92,Adidas Running Shoes,afternoon,0,5% discount,0
420,2405.03,Phone Case,evening,8,Free Shipping,0
421,16703.95,Adidas Running Shoes|Adidas Running Shoes,evening,2,5% discount,1
422,2916.98,Adidas Running Shoes,evening,8,Free Shipping,0
423,7275.04,T-Shirt,evening,7,20% discount,1
424,9584.06,T-Shirt,night,8,Free Shipping,1
425,8398.36,Nike Shoes,evening,4,20% discount,1
426,2264.49,Adidas Running Shoes,morning,8,5% discount,0
427,17816.87,Jacket|Wristband|Cushion,evening,4,Free Shipping,0
428,2157.11,Sports Cap,evening,5,10% discount,0
429,1675.08,Phone Case,night,0,Free Shipping,0
430,1721.24,Puma Sneakers,night,9,20% discount,0
431,3443.8,T-Shirt|Coffee Mug,evening,10,10% discount,1
432,6823.43,Puma Sneakers|Earbuds,evening,2,5% discount,0
433,8803.86,Nike Shoes,night,5,5% discount,1
434,1667.68,Phone Case,night,0,10% discount,0
435,11729.06,Coffee Mug|Coffee Mug,morning,2,5% discount,0
436,5634.38,Nike Shoes,evening,5,10% discount,1
437,9347.43,Backpack|Coffee Mug,night,10,Free Shipping,1
438,3186.91,Cushion,afternoon,9,10% discount,0
439,7384.72,Adidas Running Shoes,afternoon,8,Free Shipping,0
440,18265.34,Jacket|Backpack|Coffee Mug,evening,3,20% discount,0
441,6079.0,Cushion,afternoon,7,Free Shipping,0
442,13885.67,Puma Sneakers|Puma Sneakers,morning,8,10% discount,0
443,9263.19,Earbuds|Puma Sneakers,afternoon,0,5% discount,0
444,9710.35,Backpack|Phone Case|Cushion,night,5,Free Shipping,0
445,9055.25,Cushion,evening,0,Free Shipping,1
446,9785.91,Coffee Mug|Jacket,evening,1,Free Shipping,0
447,2008.26,Adidas Running Shoes,morning,1,Free Shipping,0
448,3057.93,Coffee Mug,evening,3,10% discount,0
449,4432.31,Cushion,night,3,20% discount,0
450,5888.66,Coffee Mug,evening,6,5% discount,0
451,11709.84,Jeans|Earbuds,morning,2,5% discount,1
452,5854.68,Coffee Mug|Nike Shoes,night,2,10% discount,1
453,13963.73,Backpack|Sports Cap|Coffee Mug,night,7,Free Shipping,1
454,6800.78,T-Shirt,evening,1,5% discount,0
455,17151.06,Sports Cap|Backpack,night,7,20% discount,0
456,4589.33,Cushion,night,7,5% discount,1
457,13070.82,Jeans|Cushion,morning,10,20% discount,1
458,19492.35,Wristband|T-Shirt,morning,1,10% discount,1
459,2150.57,Jacket,morning,0,20% discount,0
460,12941.78,Jeans|Sports Cap,night,3,10% discount,1
461,7423.13,Coffee Mug,afternoon,7,20% discount,1
462,6587.85,Jeans|Jacket|Wristband,afternoon,5,10% discount,0
463,6818.24,Backpack,afternoon,10,20% discount,0
464,15034.03,Phone Case|Coffee Mug,afternoon,7,20% discount,0
465,3353.58,Nike Shoes,afternoon,2,5% discount,0
466,12348.67,Coffee Mug|Wristband,night,9,10% discount,0
467,1531.08,Adidas Running Shoes,morning,9,Free Shipping,1
468,2546.27,Wristband,night,1,Free Shipping,0
