user_id,age,location,abandoned_item,previous_offer,accepted_offer
145,59,Jaffna,Bag,No offer,Yes
11,55,Colombo,Phone,15% off,No
63,36,Galle,Phone,Free shipping,Yes
113,53,Kandy,Bag,No offer,No
147,25,Galle,Watch,Free shipping,No
167,52,Galle,Bag,10% off,No
1,58,Matara,Laptop,Free shipping,No
199,37,Jaffna,Phone,15% off,No
154,50,Galle,Watch,10% off,No
71,41,Matara,Watch,15% off,No
124,49,Matara,Bag,15% off,Yes
65,32,Matara,Shoes,Free shipping,No
45,34,Galle,Shoes,15% off,Yes
164,27,Colombo,Bag,Free shipping,No
29,35,Galle,Bag,15% off,Yes
41,24,Galle,Laptop,No offer,No
109,27,Kandy,Phone,10% off,Yes
156,50,Colombo,Phone,15% off,Yes
157,24,Kandy,Shoes,Free shipping,No
26,32,Colombo,Shoes,No offer,Yes
24,52,Jaffna,Phone,No offer,No
185,52,Matara,Phone,Free shipping,No
148,36,Colombo,Shoes,No offer,Yes
82,28,Colombo,Watch,Free shipping,Yes
40,42,Galle,Phone,10% off,Yes
169,18,Colombo,Shoes,15% off,Yes
48,52,Colombo,Watch,15% off,No
95,20,Kandy,Laptop,No offer,No
155,29,Colombo,Shoes,10% off,Yes
44,56,Matara,Watch,No offer,No
139,34,Galle,Watch,10% off,Yes
4,35,Galle,Shoes,No offer,No
106,43,Matara,Phone,15% off,No
54,58,Colombo,Laptop,No offer,No
134,42,Kandy,Phone,10% off,No
181,23,Matara,Shoes,15% off,Yes
179,33,Matara,Shoes,10% off,No
186,26,Matara,Phone,Free shipping,No
50,42,Matara,Watch,No offer,No
81,58,Colombo,Shoes,No offer,No
35,27,Galle,Watch,No offer,Yes
8,24,Galle,Bag,No offer,No
111,26,Matara,Shoes,Free shipping,No
92,38,Galle,Laptop,Free shipping,No
84,33,Jaffna,Laptop,10% off,Yes
177,33,Kandy,Laptop,Free shipping,No
182,23,Kandy,Phone,Free shipping,No
90,53,Jaffna,Laptop,15% off,No
9,52,Kandy,Shoes,No offer,Yes
14,19,Matara,Watch,15% off,Yes
60,20,Matara,Bag,10% off,Yes
172,49,Matara,Bag,No offer,No
132,56,Kandy,Shoes,10% off,Yes
18,50,Jaffna,Phone,No offer,No
73,41,Galle,Shoes,10% off,No
